,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__algorithm,param_model__leaf_size,param_model__n_neighbors,param_model__p,param_model__weights,param_model__C,param_model__degree,param_model__gamma,param_model__kernel,param_model__criterion,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate,param_model__max_iter,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.1335996150970459,0.00346063744014768,0.9840110301971435,0.10311685844970567,KNeighborsRegressor(),ball_tree,30,5,2,distance,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'ball_tree', 'model__leaf_size': 30, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.6690244631323871,0.7071605077931082,0.7006994085235676,0.7013753385698354,0.9289058406393634,0.7414331117316524,0.09468633230253694,21
12,0.13597254753112792,0.014032716315659447,1.008040189743042,0.03831629599089624,KNeighborsRegressor(),ball_tree,30,10,1,uniform,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'ball_tree', 'model__leaf_size': 30, 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'uniform'}",0.6292304550698833,0.6372510268500426,0.6456360726413528,0.6518980160079547,0.7114873175480665,0.65510057762346,0.029213583821683136,82
13,0.16018457412719728,0.009375344912851226,0.8845797538757324,0.08988834635348542,KNeighborsRegressor(),ball_tree,30,10,1,distance,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'ball_tree', 'model__leaf_size': 30, 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.6951167266470584,0.7196312636757838,0.712696248788477,0.7141393316835828,0.9305413577750461,0.7544249857139895,0.08844124671308848,11
14,0.15781917572021484,0.014928607313977797,0.8266737461090088,0.07467936973125901,KNeighborsRegressor(),ball_tree,30,10,2,uniform,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'ball_tree', 'model__leaf_size': 30, 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'uniform'}",0.6307446375603971,0.6536817340480003,0.6409778324666248,0.6380617436798436,0.71699222103623,0.6560916337582191,0.031338995802011375,80
15,0.15480632781982423,0.007326285925169315,0.7389533519744873,0.02519597471462146,KNeighborsRegressor(),ball_tree,30,10,2,distance,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'ball_tree', 'model__leaf_size': 30, 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.6979699325269675,0.7332131724006475,0.7125614064103266,0.7120636394206216,0.9293315806027251,0.7570279462722576,0.0868822155605197,4
16,0.1314033031463623,0.014592053898642368,1.212314510345459,0.027395191264526164,KNeighborsRegressor(),kd_tree,15,5,1,uniform,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'kd_tree', 'model__leaf_size': 15, 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.6194210671148166,0.6109495705558808,0.6484611767367959,0.6432577531157411,0.7400996308985871,0.6524378396843643,0.04603490246036953,94
17,0.14171338081359863,0.006130836189534987,1.1982815265655518,0.03822952026765177,KNeighborsRegressor(),kd_tree,15,5,1,distance,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'kd_tree', 'model__leaf_size': 15, 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.6807917909897245,0.6938206026764612,0.7064065517734736,0.699618963078468,0.9265425917338819,0.7414361000504018,0.09293559411979468,20
18,0.13734707832336426,0.008495622264230937,0.7025440692901611,0.02508005243767231,KNeighborsRegressor(),kd_tree,15,5,2,uniform,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'kd_tree', 'model__leaf_size': 15, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.6130183869450377,0.639155931532845,0.6459189934900629,0.6454298127184264,0.7478346648674873,0.6582715579107719,0.04637305909548646,71
19,0.1345750331878662,0.0033297491285259394,0.6781922817230225,0.032028302496050494,KNeighborsRegressor(),kd_tree,15,5,2,distance,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'kd_tree', 'model__leaf_size': 15, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.6668773731232732,0.7092056208839022,0.7018882182094155,0.7030727880856957,0.9280101114053275,0.7418108223415228,0.09427910249933111,16
20,0.14178218841552734,0.002525940016191103,1.1672924518585206,0.038293662511334516,KNeighborsRegressor(),kd_tree,15,10,1,uniform,,,,,,,,,,,,,,,,"{'model': KNeighborsRegressor(), 'model__algorithm': 'kd_tree', 'model__leaf_size': 15, 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'uniform'}",0.6284785572317507,0.632952786157065,0.645998032944114,0.651645743597276,0.7126633808099468,0.6543477001480305,0.03034696367870977,88
